Date,Open,High,Low,Close,Adj Close,Volume
2014-09-19,92.7,99.7,89.95,93.89,93.89,271879400
2014-09-22,92.7,92.95,89.5,89.89,89.89,66657800
2014-09-23,88.94,90.48,86.62,87.17,87.17,39009800
2014-09-24,88.47,90.57,87.22,90.57,90.57,32088000
2014-09-25,91.09,91.5,88.5,88.92,88.92,28598000
2014-09-26,89.73,90.46,88.66,90.46,90.46,18340000
2014-09-29,89.62,89.7,88.02,88.75,88.75,25302000
2014-09-30,89.0,90.88,88.46,88.85,88.85,24419400
2014-10-01,88.7,88.94,86.04,86.1,86.1,24029600
2014-10-02,86.27,88.2,85.61,87.06,87.06,21469700
2014-10-03,88.1,89.94,87.65,88.1,88.1,18485700
2014-10-06,89.15,89.65,88.06,88.31,88.31,9268400
2014-10-07,87.95,89.7,87.06,87.67,87.67,12791700
2014-10-08,88.0,88.5,87.06,88.3,88.3,10252600
2014-10-09,88.51,90.35,88.0,88.79,88.79,21507000
2014-10-10,88.25,88.74,85.24,85.88,85.88,15431400
2014-10-13,86.85,86.89,84.92,85.12,85.12,14845000
2014-10-14,85.81,85.88,83.22,84.95,84.95,15559200
2014-10-15,84.04,86.49,82.81,85.6,85.6,16824300
2014-10-16,84.98,89.18,84.01,88.85,88.85,15232000
2014-10-17,90.4,90.9,87.67,87.91,87.91,17360700
2014-10-20,88.0,89.5,87.86,88.26,88.26,9891400
2014-10-21,89.1,92.5,88.5,90.9,90.9,23243800
2014-10-22,92.25,93.5,91.01,91.63,91.63,20364500
2014-10-23,92.92,94.7,92.82,94.45,94.45,20641000
2014-10-24,95.07,98.0,94.78,95.76,95.76,32132600
2014-10-27,97.0,98.85,96.3,97.79,97.79,28302400
2014-10-28,99.84,100.67,98.61,99.68,99.68,32127600
2014-10-29,99.88,100.0,96.82,98.31,98.31,28655400
2014-10-30,98.48,99.44,97.3,98.73,98.73,15484600
2014-10-31,100.1,100.22,98.14,98.6,98.6,18128300
2014-11-03,99.67,102.8,99.05,101.8,101.8,40883700
2014-11-04,100.43,106.36,99.51,106.07,106.07,67814000
2014-11-05,108.48,110.14,106.48,108.67,108.67,48344000
2014-11-06,109.3,111.7,107.21,111.57,111.57,33609000
2014-11-07,112.93,114.77,111.75,114.56,114.56,51457000
2014-11-10,117.27,119.45,115.2,119.15,119.15,75971000
2014-11-11,117.25,117.55,113.69,114.54,114.54,70983600
2014-11-12,115.05,119.07,114.02,118.2,118.2,53908000
2014-11-13,119.3,120.0,114.55,114.84,114.84,62163000
2014-11-14,115.06,115.39,113.35,115.1,115.1,29849000
2014-11-17,115.44,115.63,113.13,114.25,114.25,22573000
2014-11-18,114.33,114.38,110.41,110.81,110.81,41098000
2014-11-19,109.83,110.68,107.22,108.82,108.82,46841000
2014-11-20,107.81,112.44,107.26,109.82,109.82,36489000
2014-11-21,113.21,113.5,110.43,110.73,110.73,27432000
2014-11-24,112.0,113.93,111.55,113.92,113.92,20646000
2014-11-25,114.94,115.17,112.33,113.47,113.47,23485000
2014-11-26,113.33,113.74,112.33,112.67,112.67,11794700
2014-11-28,113.14,113.23,111.11,111.64,111.64,8077800
2014-12-01,110.02,110.05,103.9,105.99,105.99,38464200
2014-12-02,107.35,110.0,106.61,109.89,109.89,18785000
2014-12-03,110.4,111.68,108.8,110.64,110.64,16221100
2014-12-04,110.1,110.5,108.91,109.17,109.17,10779300
2014-12-05,109.6,110.35,107.76,107.9,107.9,12148100
